# obsid to target name mapping from chandra observatory
21453	Sgr A*
19841	Vega
19843	Vega
22035	eMACSJ0840.2+4421
23038	RX J1712.6-2414
22989	Westerlund 1
24773	PSR J0821-4300
24825	H1821+643
19450	GX340+0
20001	Jupiter
20099	GX340+0
21454	Sgr A*
22042	Q2237+0305
23039	RX J1712.6-2414
25051	Westerlund 1
22437	PSR J0821-4300
24487	QSO J1610+1811
23720	WISEAJ174128.12+034851.5
19451	4U 1705-44
21455	Sgr A*
22043	A773
20082	4U 1705-44
20083	Swift J175233.6-290952
23040	Cassiopeia A
17134	Cygnus A - Nucleus
24717	J111208.75+085030.4
23322	WASP-17
23466	M82 X-2
19847	HZ43
20048	Cygnus A - W Hotspot
20079	Cygnus A - Nucleus
17511	Cygnus A - Nucleus
21456	Sgr A*
22044	A773
20077	Cygnus A - Nucleus
23044	N132D
22672	Swift J1858.6-0814
17228	Abell 1795 outskirts
23493	NGC 253
23444	Terzan 6
22471	H1821+643
24270	SNR 0519-69.0
19944	Abell 1795 outskirts
19836	ArLac
19879	A1795
19880	A1795
19881	A1795
20054	PSR B1259-63
21457	M87
22045	A773
17142	Cygnus A - E Hotspot
17525	Cygnus A - E Hotspot
23046	IC4296
23733	CGCG077-117
19874	A1795
19875	A1795
19876	A1795
19877	A1795
19878	A1795
20059	Cygnus A - E Hotspot
20063	Cygnus A - E Hotspot
21458	M87
22046	SPT-CLJ2259-5301
23047	G349.7+0.2
17522	Cygnus A - W Hotspot
22987	Westerlund 1
19838	HZ43
19870	A1795
19871	A1795
19872	A1795
19873	A1795
19972	Abell 1795 outskirts
17137	Cygnus A - W Hotspot
19924	SNR 0509-68.7
21459	AT2019pev
22047	SPT-CLJ2259-5301
23048	PSR J2022+3842
17515	Cygnus A - W Hotspot
19851	E0102-72
19852	E0102-72
20043	Cygnus A - W Hotspot
20044	Cygnus A - W Hotspot
18880	Gaia16apd
19849	E0102-72
19850	E0102-72
20021	WPVS 007
21460	PS16dtm
22048	SPT-CLJ2259-5301
23049	PSR J2022+3842
20032	Coma cluster
20000	Jupiter
21461	PS16dtm
22050	J1047+0739
23051	SPT-CLJ2323-5753
23377	LTT1445A
24828	Westerlund 1
24264	SNR 0519-69.0
24458	[DAG2016] PSZ1-ARC G311.6602-18.4624
22980	Westerlund 1
19840	HZ43
23612	M33-North
25017	Cold ECS Blank Sky
25080	ESO 497- G 003
19990	SDSS J140737.16+442856.1
21462	J03064+1853
22051	A773
23052	SPT-CLJ2323-5753
24269	SNR 0519-69.0
22519	JWST-DTDF-1
23567	SN 2005cz
19985	CSS161010
22450	SN2020tcw
19989	Cygnus A - Nucleus
19999	iPTF17cw
20008	GRS 1716-249
21463	DRC J004423.8-334334.8
22052	A773
23053	H1821+643
24765	IGR J16318-4848
24482	4U0114+65
19861	MKN421
19862	MKN421
19863	MKN421
17136	Cygnus A - Nucleus
24710	SN 2009dq
25041	MAXI J1803-298
23807	WFI 2033-4723
25018	Cold ECS Blank Sky
19996	Cygnus A - Nucleus
17135	Cygnus A - Nucleus
21465	NGC 5033
22053	SPT-CLJ2259-5301
23054	H1821+643
24823	CMZ Molecular Cloud
24706	SN 2005V
25075	MKN421
19984	CSS161010
21466	IC5063
22054	SPT-CLJ2259-5301
23055	G1.9+0.3
25056	AT2019avd
23408	WR 97
19012	Nova SMC 2016
25027	Cas A
23479	M51
24676	TOI-172
25059	CMZ Molecular Cloud
23552	AT2020xnd
24766	IGR J16318-4848
25055	Westerlund 1
19837	Capella
25049	CXO J134856.4+263944
25064	AT2020mrf
23607	M33-South
25050	AT2020mrf
25063	MAXI J1803-298
24598	MKN421
23467	M82 X-2
23546	PSR J1813-1749
25079	4U 1543-475
17221	Abell 1795 outskirts
17519	Cygnus A - W Hotspot
21467	IC5063
19964	Abell 1795 outskirts
22055	HCG57
23056	G1.9+0.3
17514	Cygnus A - Nucleus
17529	Cygnus A - E Hotspot
24691	2RXS J154551.5-175702
22983	Westerlund 1
22595	Sgr A*
24732	NGC 3258
23563	SN 2011jm
23589	4FGL J0854.8-4504
22594	Sgr A*
22981	Westerlund 1
25076	MKN421
17520	Cygnus A - W Hotspot
17615	Abell 1795 outskirts
21468	ESO359-G029
19793	Proxima Cen
22060	PSR J1709-4429
23057	G1.9+0.3
19956	Cygnus A - W Hotspot
17612	Abell 1795 outskirts
25058	Westerlund 1
24575	HZ43
24571	Vega
24570	Vega
24569	Vega
19946	Abell 1795 outskirts
24568	Vega
24567	Vega
25060	AT2019avd
21469	NGC 1487
22061	PGC 032873
23059	COBRA141155.2+341510
19868	A1795
19869	A1795
17224	Abell 1795 outskirts
19846	HZ43
17507	Cygnus A - Nucleus
17616	Abell 1795 outskirts
17629	Abell 1795 outskirts
19939	Abell 1795 outskirts
21470	UGC 09215
22062	PGC 032873
23063	PKS 0215+015
23710	PGC835095
24674	HD202772
23409	WR 97
22978	Westerlund 1
19790	Proxima Cen
23780	QSOJ1131-1231
19690	PSR J1119-6127
21471	NGC 5264
22063	SDSS J0946-0026
23064	Perseus_south_cf_2
22518	JWST-DTDF-1
25057	Westerlund 1
24268	SNR 0519-69.0
24625	4U 1636-53
